Date,Price,Open,High,Low,Vol.,Change %
7/11/2022,18202.8,18211.75,18255.5,18064.75,314.76B,0.47%
4/11/2022,18117.15,18053.4,18135.1,18017.15,267.94B,0.36%
3/11/2022,18052.7,17968.35,18106.3,17959.2,212.97B,-0.17%
2/11/2022,18082.85,18177.9,18178.75,18048.65,270.88B,-0.34%
1/11/2022,18145.4,18130.7,18175.8,18060.15,349.92B,0.74%
31/10/2022,18012.2,17910.2,18022.8,17899.9,227.17B,1.27%
28/10/2022,17786.8,17756.4,17838.9,17723.7,250.03B,0.28%
27/10/2022,17736.95,17771.4,17783.9,17654.5,324.65B,0.46%
25/10/2022,17656.35,17808.3,17811.5,17637,251.36B,-0.42%
24/10/2022,17730.75,17736.35,17777.55,17707.4,45.03B,0.88%
21/10/2022,17576.3,17622.85,17670.15,17520.75,277.70B,0.07%
20/10/2022,17563.95,17423.1,17584.15,17421,249.60B,0.30%
19/10/2022,17512.25,17568.15,17607.6,17472.85,210.48B,0.14%
18/10/2022,17486.95,17438.75,17527.8,17434.05,239.49B,1.01%
17/10/2022,17311.8,17144.8,17328.55,17098.55,212.22B,0.73%
14/10/2022,17185.7,17322.3,17348.55,17169.75,227.00B,1.01%
13/10/2022,17014.35,17087.35,17112.35,16956.95,266.44B,-0.64%
12/10/2022,17123.6,17025.55,17142.35,16960.05,256.04B,0.82%
11/10/2022,16983.55,17256.05,17261.8,16950.3,282.62B,-1.49%
10/10/2022,17241,17094.35,17280.15,17064.7,234.01B,-0.43%
7/10/2022,17314.65,17287.2,17337.35,17216.95,216.27B,-0.10%
6/10/2022,17331.8,17379.25,17428.8,17315.65,265.45B,0.33%
4/10/2022,17274.3,17147.45,17287.3,17117.3,226.02B,2.29%
3/10/2022,16887.35,17102.1,17114.65,16855.55,278.37B,-1.21%
30/09/2022,17094.35,16798.05,17187.1,16747.7,376.11B,1.64%
29/09/2022,16818.1,16993.6,17026.05,16788.6,340.03B,-0.24%
28/09/2022,16858.6,16870.55,17037.6,16820.4,323.92B,-0.87%
27/09/2022,17007.4,17110.9,17176.45,16942.35,359.90B,-0.05%
26/09/2022,17016.3,17156.3,17196.4,16978.3,492.00B,-1.80%
23/09/2022,17327.35,17593.85,17642.15,17291.65,390.75B,-1.72%
22/09/2022,17629.8,17609.65,17722.75,17532.45,284.09B,-0.50%
21/09/2022,17718.35,17766.35,17838.7,17663.6,245.53B,-0.55%
20/09/2022,17816.25,17770.4,17919.3,17744.4,263.10B,1.10%
19/09/2022,17622.25,17540.65,17667.2,17429.7,258.33B,0.52%
16/09/2022,17530.85,17796.8,17820.05,17497.25,468.46B,-1.94%
15/09/2022,17877.4,18046.35,18096.15,17861.5,289.64B,-0.70%
14/09/2022,18003.75,17771.15,18091.55,17771.15,365.87B,-0.37%
13/09/2022,18070.05,18044.45,18088.3,18015.45,259.92B,0.75%
12/09/2022,17936.35,17890.85,17980.55,17889.15,228.24B,0.58%
9/09/2022,17833.35,17923.35,17925.95,17786,270.30B,0.19%
8/09/2022,17798.75,17748.15,17807.65,17691.95,279.85B,0.99%
7/09/2022,17624.4,17519.4,17650.75,17484.3,354.14B,-0.18%
6/09/2022,17655.6,17695.7,17764.65,17587.65,251.20B,-0.06%
5/09/2022,17665.8,17546.45,17683.15,17540.35,230.31B,0.72%
2/09/2022,17539.45,17598.4,17643.85,17476.45,256.27B,-0.02%
1/09/2022,17542.8,17485.7,17695.6,17468.45,308.53B,-1.22%
30/08/2022,17759.3,17414.95,17777.65,17401.5,324.69B,2.58%
29/08/2022,17312.9,17188.65,17380.15,17166.2,244.85B,-1.40%
26/08/2022,17558.9,17619.3,17685.85,17519.35,266.64B,0.21%
25/08/2022,17522.45,17679,17726.5,17487.45,230.18B,-0.47%
24/08/2022,17604.95,17525.45,17623.65,17499.25,261.95B,0.16%
23/08/2022,17577.5,17357.35,17625.55,17345.2,285.62B,0.50%
