Date,Price,Open,High,Low,Vol.,Change %,Volume
19/10/2010,753.08,776.75,777.5,751.75,1.27M,-3.05%,1.27M
20/10/2010,754.81,751.75,761.2,748.75,367.44K,0.23%,367440
21/10/2010,758.29,752,759.5,745,468.66K,0.46%,468660
22/10/2010,763.31,759.92,771,753.75,444.27K,0.66%,444270
25/10/2010,754.88,763.81,768.5,752.39,287.65K,-1.10%,287650
26/10/2010,754.96,755,759.75,751,335.07K,0.01%,335070
27/10/2010,746.06,752.25,752.25,741.25,406.82K,-1.18%,406820
28/10/2010,743.66,747.25,757.01,739,281.10K,-0.32%,281100
29/10/2010,742.4,746,749.25,736.64,314.61K,-0.17%,314610
1/11/2010,748.66,747.02,756.25,746.41,74.52K,0.84%,74520
2/11/2010,754.9,751.74,756.25,745.89,164.12K,0.83%,164120
3/11/2010,756.01,757.25,761.25,753.75,153.26K,0.15%,153260
4/11/2010,769.14,760.02,771.25,759,264.51K,1.74%,264510
5/11/2010,769.95,769,774.75,767.51,50.83K,0.11%,50830
8/11/2010,755.91,770.5,770.5,753.5,282.24K,-1.82%,282240
9/11/2010,763.02,757.5,767.5,757.5,206.06K,0.94%,206060
10/11/2010,770.73,759.5,776.25,758,676.06K,1.01%,676060
11/11/2010,763.79,771.34,771.34,762.55,218.43K,-0.90%,218430
12/11/2010,749.81,759.75,759.75,747.25,410.14K,-1.83%,410140
15/11/2010,756.06,749.81,759,745.92,199.64K,0.83%,199640
16/11/2010,743.08,755.5,755.5,736,283.62K,-1.72%,283620
18/11/2010,751.04,743.81,756.75,743.08,287.32K,1.07%,287320
19/11/2010,741.61,749.25,752.12,737.5,269.99K,-1.26%,269990
22/11/2010,760.52,745,767.42,743.75,374.16K,2.55%,374160
23/11/2010,753.33,757.42,764.98,744.92,318.72K,-0.95%,318720
24/11/2010,750.25,753.29,758.75,745.25,315.51K,-0.41%,315510
25/11/2010,765.92,754.35,777.75,752.75,988.28K,2.09%,988280
26/11/2010,760.14,765.38,776,756.25,411.34K,-0.75%,411340
29/11/2010,766.21,762.7,773.5,762.7,293.48K,0.80%,293480
30/11/2010,762.36,763.65,769.5,753.79,207.24K,-0.50%,207240
1/12/2010,763.64,760,766.5,758.75,185.18K,0.17%,185180
2/12/2010,773.86,762.5,777.46,759.09,802.92K,1.34%,802920
3/12/2010,780.75,775.25,786.17,775.25,308.90K,0.89%,308900
6/12/2010,786.36,780,792.95,780,339.63K,0.72%,339630
7/12/2010,791.94,785.58,796.48,785,355.58K,0.71%,355580
8/12/2010,783.65,788.25,791.11,779,170.91K,-1.05%,170910
9/12/2010,787.89,786.5,795.73,785,286.92K,0.54%,286920
10/12/2010,786.89,787.5,790.5,781.27,252.94K,-0.13%,252940
13/12/2010,787.12,787.25,788.99,768.75,263.07K,0.03%,263070
14/12/2010,787.76,790.25,792.98,781.61,310.12K,0.08%,310120
15/12/2010,800.91,788.25,802.25,787.5,369.85K,1.67%,369850
16/12/2010,823.08,802.77,824.24,802.77,548.02K,2.77%,548020
20/12/2010,837.73,806.29,840.75,806.29,655.10K,1.78%,655100
21/12/2010,832.31,837.5,842.5,827.75,357.07K,-0.65%,357070
22/12/2010,834.23,831.27,839.25,828.38,252.93K,0.23%,252930
23/12/2010,840.62,835,841.5,832.5,452.02K,0.77%,452020
24/12/2010,842.12,835.8,844.5,835,363.54K,0.18%,363540
27/12/2010,844.69,840,847.75,840,169.49K,0.31%,169490
28/12/2010,845.46,844.5,846.5,841.04,221.21K,0.09%,221210
29/12/2010,849.88,844.29,851.7,843,480.11K,0.52%,480110
30/12/2010,860.12,850,861.75,850,464.65K,1.20%,464650
31/12/2010,861.25,856.75,863.5,851.6,259.84K,0.13%,259840
3/01/2011,863.23,862.25,864.71,856.75,193.26K,0.23%,193260
4/01/2011,867,863.25,872.48,863.25,244.17K,0.44%,244170
5/01/2011,866.91,866.17,869,861.75,158.91K,-0.01%,158910
6/01/2011,868.96,868.25,873,861,383.06K,0.24%,383060
7/01/2011,841.62,868.75,873.49,839,391.72K,-3.15%,391720
10/01/2011,849.16,845,860.45,838,622.08K,0.90%,622080
11/01/2011,832.31,846,854.7,822.56,581.82K,-1.98%,581820
12/01/2011,843.74,837.04,847,830.26,441.91K,1.37%,441910
13/01/2011,803.08,822.5,822.5,800.25,1.76M,-4.82%,1.76M
14/01/2011,800.49,801.7,819.25,797.5,770.70K,-0.32%,770700
17/01/2011,816.99,800,820.5,798,501.90K,2.06%,501900
18/01/2011,829.54,812,833,812,872.80K,1.54%,872800
19/01/2011,813,826.7,827.5,809.25,338.30K,-1.99%,338300
20/01/2011,822.27,809.5,824.46,805.25,486.15K,1.14%,486150
21/01/2011,812.19,816.75,819.25,808.25,216.91K,-1.23%,216910
24/01/2011,819.55,811.1,821.75,807.12,216.37K,0.91%,216370
25/01/2011,813.52,818.75,825.25,808.84,190.56K,-0.74%,190560
27/01/2011,798.8,816.5,818.75,796.5,458.00K,-1.81%,458000
28/01/2011,793.38,801.01,817.2,786.25,624.84K,-0.68%,624840
31/01/2011,779.08,784.75,784.75,772.89,305.80K,-1.80%,305800
1/02/2011,771.55,783.25,783.25,761.76,440.47K,-0.97%,440470
2/02/2011,771.41,780.25,790.5,767.25,385.73K,-0.02%,385730
3/02/2011,778.96,771.77,787.5,771.77,265.97K,0.98%,265970
4/02/2011,761.59,777.2,780.5,757.12,346.25K,-2.23%,346250
7/02/2011,772.26,770.25,777.75,765.25,295.96K,1.40%,295960
8/02/2011,774.15,775,779.99,768.75,282.92K,0.24%,282920
9/02/2011,781.75,773.48,787.25,766.75,282.32K,0.98%,282320
10/02/2011,764.01,779.25,779.25,761.35,266.28K,-2.27%,266280
11/02/2011,760.15,763.75,766.75,755.75,250.85K,-0.51%,250850
14/02/2011,776.14,770.5,779.5,761,232.22K,2.10%,232220
15/02/2011,775.25,776,782.48,769.25,248.49K,-0.11%,248490
16/02/2011,775.24,774,780.5,770.7,179.07K,0.00%,179070
17/02/2011,777.8,778.5,782.25,775.59,187.88K,0.33%,187880
18/02/2011,774.1,781.25,786.25,771.34,356.83K,-0.48%,356830
21/02/2011,790.3,775,793.77,769.23,294.71K,2.09%,294710
22/02/2011,785.83,786.21,791.25,778.83,285.60K,-0.57%,285600
23/02/2011,770.55,777.25,777.25,768.75,268.74K,-1.94%,268740
24/02/2011,756.35,765,767.5,751.55,611.56K,-1.84%,611560
25/02/2011,752.06,756.75,759.6,743.48,702.65K,-0.57%,702650
28/02/2011,750.76,755,783.75,745.76,575.30K,-0.17%,575300
1/03/2011,772,758.75,775.5,752,369.07K,2.83%,369070
